URL vers la page,Siècle,Couleur,Remarques sur la qualité du papier,Autres remarques
https://gallica.bnf.fr/ark:/12148/bpt6k3044372f/f10.item,18,couleur,"bleed-through, tampon de la bibliothèque",
https://gallica.bnf.fr/ark:/12148/bpt6k30446838/f30.item,18,couleur,"important bleed-through d'écriture imprimée, quelques tâches",
https://gallica.bnf.fr/ark:/12148/bpt6k3044495s/f11.item,18,couleur,"quelques traces d'impression d'écriture imprimée de la page d'en face, bleed-through de crayon de papier",
https://gallica.bnf.fr/ark:/12148/bpt6k3044495s/f15.item,18,couleur,réglé,
https://gallica.bnf.fr/ark:/12148/bpt6k30447255/f9.item,18,couleur,"bleed-through, tampon de la bibliothèque",
https://gallica.bnf.fr/ark:/12148/bpt6k3044539h/f26.item,18,couleur,"bled-through, tâcheté",
https://gallica.bnf.fr/ark:/12148/bpt6k30445101/f12.item,18,couleur,"quelques tâches, bleed-through",
https://gallica.bnf.fr/ark:/12148/bpt6k30445101/f14.item,18,couleur,idem,scan avec un angle ~20 degrés
https://gallica.bnf.fr/ark:/12148/bpt6k30446764/f16.item,18,couleur,"bleed-through, tâche moyenne",
https://gallica.bnf.fr/ark:/12148/bpt6k3052182s/f3.item,18,couleur,légèrement tâcheté,
https://gallica.bnf.fr/ark:/12148/bpt6k3052182s/f4.item,18,couleur,idem,
https://gallica.bnf.fr/ark:/12148/bpt6k3052181c/f9.item,18,couleur,,
https://gallica.bnf.fr/ark:/12148/bpt6k3052181c/f17.item,18,couleur,légèrement tâcheté,
https://gallica.bnf.fr/ark:/12148/bpt6k3044947f/f89.item,18,couleur,,
https://gallica.bnf.fr/ark:/12148/bpt6k3043343d/f4.item,18,couleur,"réglé, bonne qualité",
https://gallica.bnf.fr/ark:/12148/bpt6k3043343d/f7.item,18,couleur,bleed-through,
https://gallica.bnf.fr/ark:/12148/bpt6k3043343d/f14.item,18,couleur,,
https://gallica.bnf.fr/ark:/12148/bpt6k879915t/f34.item,18,grayscale,bleed-through,
https://gallica.bnf.fr/ark:/12148/bpt6k9784357s/f192.item,19,couleur,mauvais état,
https://gallica.bnf.fr/ark:/12148/bpt6k97806246/f4.item,19,couleur,bleed-through d'écriture imprimée et tampon bibliothèque,
https://gallica.bnf.fr/ark:/12148/bpt6k97806246/f102.item,19,couleur,,
https://gallica.bnf.fr/ark:/12148/bpt6k97806246/f103.item,19,couleur,,
https://gallica.bnf.fr/ark:/12148/bpt6k97806246/f104.item,19,couleur,,
https://gallica.bnf.fr/ark:/12148/bpt6k9778050t/f4.item,20,couleur,,
https://gallica.bnf.fr/ark:/12148/bpt6k97798371/f19.item,19,couleur,,
https://gallica.bnf.fr/ark:/12148/bpt6k97798371/f29.item,19,couleur,,
https://gallica.bnf.fr/ark:/12148/bpt6k9779856c/f142.item,19,couleur,pliures,
https://gallica.bnf.fr/ark:/12148/bpt6k9779856c/f146.item,19,couleur,bleed-through,
https://gallica.bnf.fr/ark:/12148/bpt6k97784076/f2.item,21,couleur,tampon,
https://gallica.bnf.fr/ark:/12148/bpt6k97784076/f23.item,21,couleur,,
https://gallica.bnf.fr/ark:/12148/bpt6k1250287n/f128.item,20,grayscale,,
https://gallica.bnf.fr/ark:/12148/bpt6k1250287n/f129.item,20,grayscale,,
https://gallica.bnf.fr/ark:/12148/bpt6k97780124/f2.item,21,couleur,,
https://gallica.bnf.fr/ark:/12148/bpt6k97773546/f23.item,20,couleur,trace du tampon,
https://gallica.bnf.fr/ark:/12148/bpt6k9777580c/f2.item,20,couleur,traces d'impression,
https://gallica.bnf.fr/ark:/12148/bpt6k9777580c/f20.item,20,couleur,tampon bibliothèque,
https://gallica.bnf.fr/ark:/12148/bpt6k133638n/f14.item,19,couleur,tâcheté,
https://gallica.bnf.fr/ark:/12148/bpt6k133638n/f12.item,19,couleur,tâcheté,
https://gallica.bnf.fr/ark:/12148/bpt6k9658298j/f10.item,19,couleur,léger bleed-through,
https://gallica.bnf.fr/ark:/12148/bpt6k3142288/f16.item,17,couleur,bleed-through,
https://gallica.bnf.fr/ark:/12148/bpt6k3142288/f47.item,17,couleur,,
https://gallica.bnf.fr/ark:/12148/btv1b530828889/f3.item,19,couleur,letter paper,
https://gallica.bnf.fr/ark:/12148/btv1b9007211z/f181.item,16,microfilm,double page,
https://gallica.bnf.fr/ark:/12148/btv1b53064303x/f3.item,19,couleur,wrinckles ,
https://gallica.bnf.fr/ark:/12148/btv1b53064321v/f3.item,19,couleur,purple letter paper,
https://gallica.bnf.fr/ark:/12148/btv1b53122520h/f3.item,20,couleur,letter paper,
https://gallica.bnf.fr/ark:/12148/btv1b53054268z/f3.item,19,couleur,letter paper,
